id,marca_temporal,anios_experiencia,anios_trabajo_hospital,cargo,sala,interacciones_mes,pregunta,respuesta,respuesta_num
13,7/5/2025 13:30:54,Interno de medicina (6º año),<1,Interno/a,Sala J,20,q_disminuye_conflictos,En desacuerdo,2
13,7/5/2025 13:30:54,Interno de medicina (6º año),<1,Interno/a,Sala J,20,q_satisfaccion_general,Ni deacuerdo ni en desacuerdo,3
13,7/5/2025 13:30:54,Interno de medicina (6º año),<1,Interno/a,Sala J,20,q_mantener_extender_modelo,De acuerdo,4
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_responde_oportuno,De acuerdo,4
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_facil_contactar,Muy de acuerdo,5
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_recomendaciones_claras,De acuerdo,4
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_buena_comunicacion,De acuerdo,4
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_continuidad_cuidados,Ni deacuerdo ni en desacuerdo,3
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_mejora_calidad_atencion,De acuerdo,4
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_apoyo_manejo_pacientes,Ni deacuerdo ni en desacuerdo,3
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_perspectiva_biopsicosocial,Ni deacuerdo ni en desacuerdo,3
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_reduce_carga_trabajo,En desacuerdo,2
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_disminuye_conflictos,Ni deacuerdo ni en desacuerdo,3
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_satisfaccion_general,De acuerdo,4
14,7/5/2025 21:40:37,4,0,Becado/a,Sala L,2,q_mantener_extender_modelo,De acuerdo,4
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_responde_oportuno,De acuerdo,4
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_facil_contactar,De acuerdo,4
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_recomendaciones_claras,Ni deacuerdo ni en desacuerdo,3
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_buena_comunicacion,De acuerdo,4
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_continuidad_cuidados,En desacuerdo,2
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_mejora_calidad_atencion,De acuerdo,4
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_apoyo_manejo_pacientes,Ni deacuerdo ni en desacuerdo,3
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_perspectiva_biopsicosocial,De acuerdo,4
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_reduce_carga_trabajo,En desacuerdo,2
15,22/6/2026 18:35:39,7,2,Becado/a,Sala J,10,q_disminuye_conflictos,Ni deacuerdo ni en desacuerdo,3
